pais,nombre,puntos,precio,provincia,region_1,region_2,variedad,vina,titulo_resena
Estados Unidos,,87,19.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Balboa,Balboa 2007 Cabernet Sauvignon (Columbia Valley (WA))
Estados Unidos,Aix,89,34.0,Washington,Red Mountain,Columbia Valley,Ensamblaje Tinto,Doyenne,Doyenne 2007 Aix Red (Red Mountain)
Francia,,88,20.0,Southwest France,Cahors,,Malbec-Merlot,Château Lamartine,Château Lamartine 2014 Malbec-Merlot (Cahors)
Estados Unidos,Loiregon,91,25.0,Oregon,Southern Oregon,Southern Oregon,Cabernet Franc,Leah Jørgensen Cellars,Leah Jørgensen Cellars 2014 Loiregon Cabernet Franc (Southern Oregon)
Estados Unidos,Old Vine,82,28.0,California,Dry Creek Valley,Sonoma,Zinfandel,Puccioni,Puccioni 2009 Old Vine Zinfandel (Dry Creek Valley)
Estados Unidos,Double Barrel,88,35.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Barrage Cellars,Barrage Cellars 2009 Double Barrel Cabernet Sauvignon (Columbia Valley (WA))
Estados Unidos,Limited Release,87,25.0,New York,Finger Lakes,Finger Lakes,Syrah,Lucas Vineyards,Lucas Vineyards 2011 Limited Release Syrah (Finger Lakes)
Estados Unidos,Sierra Mar Vineyard,89,40.0,California,Santa Lucia Highlands,Central Coast,Chardonnay,Bernardus,Bernardus 2010 Sierra Mar Vineyard Chardonnay (Santa Lucia Highlands)
Alemania,Piesporter Michelsberg Kabinett,85,14.0,Mosel,,,Riesling,Leonard Kreusch,Leonard Kreusch 2012 Piesporter Michelsberg Kabinett Riesling (Mosel)
Estados Unidos,Stone Valley Tierra de las Rocas,88,70.0,Oregon,Oregon Other,,Tempranillo,Castillo De Feliciana,Castillo De Feliciana 2014 Stone Valley Tierra de las Rocas Tempranillo
Australia,The High Trellis,86,20.0,South Australia,McLaren Vale,,Cabernet Sauvignon,D'Arenberg,D'Arenberg 2013 The High Trellis Cabernet Sauvignon (McLaren Vale)
Austria,,90,18.0,Weinviertel,,,Grüner Veltliner,Ingrid Groiss,Ingrid Groiss 2015 Grüner Veltliner (Weinviertel)
Estados Unidos,Limited Release,86,22.0,California,Lodi,Central Valley,Vermentino,Borra,Borra 2014 Limited Release Vermentino (Lodi)
Francia,,85,15.0,Bordeaux,Bordeaux,,Bordeaux-style Red Blend,Château Grand-Portail,Château Grand-Portail 2015  Bordeaux
Portugal,Farizoa,84,10.0,Alentejano,,,Portuguese Red,Companhia das Quintas,Companhia das Quintas 2006 Farizoa Red (Alentejano)
Estados Unidos,,89,37.0,California,Napa Valley,Napa,Zinfandel,Frank Family,Frank Family 2010 Zinfandel (Napa Valley)
Estados Unidos,Harris Kratka Vineyard,90,45.0,California,Alexander Valley,Sonoma,Zinfandel,Rosenblum,Rosenblum 2010 Harris Kratka Vineyard Zinfandel (Alexander Valley)
Estados Unidos,Reserve,87,30.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,B&E;,B&E; 2009 Reserve Cabernet Sauvignon (Paso Robles)
Australia,,84,7.0,Australia Other,South Eastern Australia,,Chardonnay,Blue Tongue,Blue Tongue 2002 Chardonnay (South Eastern Australia)
Hungría,Dry,86,15.0,Tokaji,,,Tokaji,Chateau Dereszla,Chateau Dereszla 2011 Dry  (Tokaji)
Sudáfrica,,88,11.0,Región Costera,,,Pinotage,MAN Vintners,MAN Vintners 2007 Pinotage (Coastal Region)
Estados Unidos,Double Bluff,86,19.0,Washington,Columbia Valley (WA),Columbia Valley,Ensamblaje Tinto Tipo Rhône,Ott & Murphy,Ott & Murphy 2008 Double Bluff Red (Columbia Valley (WA))
Estados Unidos,,86,20.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Hobo,Hobo 2006 Cabernet Sauvignon (Alexander Valley)
Estados Unidos,Black Sears Vineyard Old Vine Reserve,92,75.0,California,Howell Mountain,Napa,Zinfandel,Beekeeper Cellars,Beekeeper Cellars 2012 Black Sears Vineyard Old Vine Reserve Zinfandel (Howell Mountain)
Estados Unidos,Emmaline Ann Vineyard,94,75.0,California,Sonoma Coast,Sonoma,Pinot Noir,Cobb,Cobb 2014 Emmaline Ann Vineyard Pinot Noir (Sonoma Coast)
Estados Unidos,Bella Una,92,56.0,California,Russian River Valley,Sonoma,Pinot Noir,Benovia,Benovia 2010 Bella Una Pinot Noir (Russian River Valley)
Estados Unidos,Reserve,86,25.0,California,Livermore Valley,Central Coast,Merlot,Concannon,Concannon 2007 Reserve Merlot (Livermore Valley)
Italia,Ribeca,87,30.0,Sicily & Sardinia,Terre Siciliane,,Perricone,Firriato,Firriato 2012 Ribeca Perricone (Terre Siciliane)
Estados Unidos,1850,90,25.0,California,Lodi,Central Valley,Ensamblaje Tinto,Klinker Brick,Klinker Brick 2012 1850 Red (Lodi)
Francia,Reserve,84,9.0,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Marquis de Chasse,Marquis de Chasse 1999 Reserve  (Bordeaux Blanc)
Italia,Plotzner,87,20.0,Northeastern Italy,Alto Adige,,Pinot Bianco,St. Pauls,St. Pauls 2014 Plotzner Pinot Bianco (Alto Adige)
Italia,Corte Antica,88,,Veneto,Valpolicella Classico Superiore Ripasso,,"Corvina, Rondinella, Molinara",Cantine Benedetti,Cantine Benedetti 2007 Corte Antica  (Valpolicella Classico Superiore Ripasso)
Estados Unidos,,85,15.0,California,Sonoma County,Sonoma,Pinot Noir,Buena Vista,Buena Vista 2010 Pinot Noir (Sonoma County)
Francia,,86,,Burgundy,Bourgogne,,Pinot Noir,Roux Père et Fils,Roux Père et Fils 2010  Bourgogne
España,Selección Finca Monte Alto,89,26.0,Galicia,Rías Baixas,,Albariño,Fillaboa,Fillaboa 2014 Selección Finca Monte Alto Albariño (Rías Baixas)
Estados Unidos,Brut,88,20.0,California,North Coast,North Coast,Sparkling Blend,Rack & Riddle,Rack & Riddle NV Brut Sparkling (North Coast)
Estados Unidos,Barile,90,20.0,California,Lodi,Central Valley,Primitivo,Uvaggio,Uvaggio 2011 Barile Primitivo (Lodi)
Estados Unidos,Red Table Wine,92,75.0,Washington,Columbia Valley (WA),Columbia Valley,Ensamblaje Tinto,Col Solare,Col Solare 2005 Red Table Wine Red (Columbia Valley (WA))
Estados Unidos,Reserve Cavalie,87,40.0,Washington,Horse Heaven Hills,Columbia Valley,Bordeaux-style Red Blend,Mercer,Mercer 2014 Reserve Cavalie Red (Horse Heaven Hills)
Francia,N.P.U. Nec Plus Ultra Extra Brut,95,195.0,Champagne,Champagne,,Champagne Ensamblaje,Bruno Paillard,Bruno Paillard 2003 N.P.U. Nec Plus Ultra Extra Brut  (Champagne)
Italia,Poggio Argentato,87,20.0,Tuscany,Toscana,,Ensamblaje Blanco,Fattoria Le Pupille,Fattoria Le Pupille 2011 Poggio Argentato White (Toscana)
Chile,T.H. Terroir Hunter,87,20.0,Valle de Leyda,,,Sauvignon Blanc,Undurraga,Undurraga 2013 T.H. Terroir Hunter Sauvignon Blanc (Leyda Valley)
Estados Unidos,Deliverance,83,28.0,California,Paso Robles,Central Coast,Zinfandel,Graveyard,Graveyard NV Deliverance Zinfandel (Paso Robles)
Estados Unidos,,84,25.0,California,Shenandoah Valley (CA),Sierra Foothills,Petite Sirah,C.G. di Arie,C.G. di Arie 2006 Petite Sirah (Shenandoah Valley (CA))
Estados Unidos,,84,31.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Indigené,Indigené 2007 Pinot Noir (Santa Maria Valley)
Estados Unidos,Cotes-du-Robles Mourvèdre--Syrah-Grenache-Durif,91,28.0,California,Paso Robles,Central Coast,Ensamblaje Tinto,Eberle,Eberle 2014 Cotes-du-Robles Mourvèdre--Syrah-Grenache-Durif Red (Paso Robles)
España,,85,16.0,Northern Spain,Ribera del Duero,,Tempranillo,Maitea,Maitea 2014  Ribera del Duero
Estados Unidos,Hendry Vineyard,88,18.0,California,Napa Valley,Napa,Pinot Gris,Hendry,Hendry 2014 Hendry Vineyard Pinot Gris (Napa Valley)
Italia,,84,10.0,Veneto,Veneto Orientale,,Chardonnay,Moletto,Moletto 2007 Chardonnay (Veneto Orientale)
Portugal,Pombal do Vesuvio,90,28.0,Douro,,,Portuguese Red,Quinta do Vesuvio,Quinta do Vesuvio 2014 Pombal do Vesuvio Red (Douro)
Estados Unidos,,92,33.0,California,Santa Lucia Highlands,Central Coast,Syrah,Novy,Novy 2006 Syrah (Santa Lucia Highlands)
Italia,Campofiorin,88,19.0,Veneto,Rosso del Veronese,,"Corvina, Rondinella, Molinara",Masi,Masi 2006 Campofiorin Red (Rosso del Veronese)
España,Honoro Vera,85,9.0,Levante,Jumilla,,Monastrell,Juan Gil,Juan Gil 2014 Honoro Vera Monastrell (Jumilla)
Italia,,88,25.0,Northeastern Italy,Collio,,Friulano,Castello di Spessa,Castello di Spessa 2015 Friulano (Collio)
Portugal,Branco,84,7.0,Alentejano,,,Portuguese White,Finisterra,Finisterra 2010 Branco White (Alentejano)
Estados Unidos,,85,14.0,New York,Finger Lakes,Finger Lakes,Cabernet Sauvignon,Fulkerson,Fulkerson 2008 Cabernet Sauvignon (Finger Lakes)
Italia,Smeriglio Riserva,90,50.0,Tuscany,Cortona,,Syrah,Baracchi Riccardo,Baracchi Riccardo 2011 Smeriglio Riserva Syrah (Cortona)
Alemania,,88,11.0,Mosel,,,Riesling,Dr. Heidemanns-Bergweiler,Dr. Heidemanns-Bergweiler 2015 Riesling (Mosel)
Francia,,87,33.0,Burgundy,Pouilly-Fuissé,,Chardonnay,Seguin-Manuel,Seguin-Manuel 2013  Pouilly-Fuissé
Estados Unidos,The Funkadelic,91,60.0,Washington,Walla Walla Valley (WA),Columbia Valley,Syrah,Sleight of Hand,Sleight of Hand 2010 The Funkadelic Syrah (Walla Walla Valley (WA))
Alemania,Dr. L,89,12.0,Mosel,,,Riesling,Loosen Bros.,Loosen Bros. 2015 Dr. L Riesling (Mosel)
Estados Unidos,,90,18.0,Washington,Rattlesnake Hills,Columbia Valley,Malbec,Lookout Point,Lookout Point 2009 Malbec (Rattlesnake Hills)
Estados Unidos,Cuvée Kristin Estate Blend Red Wine,93,55.0,California,Sonoma Valley,Sonoma,Bordeaux-style Red Blend,Korbin Kameron,Korbin Kameron 2008 Cuvée Kristin Estate Blend Red Wine Red (Sonoma Valley)
España,Crianza,87,20.0,Northern Spain,Rioja,,Tempranillo,Fernández de Piérola,Fernández de Piérola 2007 Crianza  (Rioja)
Estados Unidos,Old Vines,94,70.0,California,Russian River Valley,Sonoma,Chardonnay,Lynmar,Lynmar 2015 Old Vines Chardonnay (Russian River Valley)
Estados Unidos,Maresh Vineyard,86,48.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Et Fille,Et Fille 2012 Maresh Vineyard Pinot Noir (Dundee Hills)
Estados Unidos,Lone Oak Vineyard,92,50.0,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Lucienne,Lucienne 2012 Lone Oak Vineyard Pinot Noir (Santa Lucia Highlands)
Estados Unidos,Estate Reserve,88,20.0,Oregon,Willamette Valley,Willamette Valley,Chardonnay,David Hill,David Hill 2013 Estate Reserve Chardonnay (Willamette Valley)
Israel,Reserve Late Harvest Cluster Select,90,27.0,Galilee,,,Gewürztraminer,Binyamina,Binyamina 2009 Reserve Late Harvest Cluster Select Gewürztraminer (Galilee)
Chile,Gato Negro,81,7.0,Valle Central,,,Sauvignon Blanc,San Pedro,San Pedro 2013 Gato Negro Sauvignon Blanc (Central Valley)
Estados Unidos,Mernet,90,96.0,California,Spring Mountain District,Napa,Merlot-Cabernet Sauvignon,Keenan,Keenan 2008 Mernet Merlot-Cabernet Sauvignon (Spring Mountain District)
Estados Unidos,Stephanie's Vineyard,87,30.0,California,Green Valley,Sonoma,Pinot Noir,River Road,River Road 2006 Stephanie's Vineyard Pinot Noir (Green Valley)
Estados Unidos,Grande Cuvée,89,28.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Soléna,Soléna 2013 Grande Cuvée Pinot Noir (Willamette Valley)
Estados Unidos,Mystique,89,25.0,Washington,Yakima Valley,Columbia Valley,Ensamblaje Tinto,Sheridan Vineyard,Sheridan Vineyard 2010 Mystique Red (Yakima Valley)
Estados Unidos,Estate Grown,88,24.0,California,Russian River Valley,Sonoma,Zinfandel,Balletto,Balletto 2013 Estate Grown Zinfandel (Russian River Valley)
Chile,Reserva,82,13.0,Valle del Maipo,,,Merlot,Ventisquero,Ventisquero 2007 Reserva Merlot (Maipo Valley)
Chile,Anke Blend-2 Carménère-Petit Verdot-Shiraz,86,11.0,Valle del Maipo,,,Ensamblaje Tinto,Santa Alicia,Santa Alicia 2006 Anke Blend-2 Carménère-Petit Verdot-Shiraz Red (Maipo Valley)
España,Gran Feudo Rosado,87,9.0,Northern Spain,Navarra,,Rosé,Bodegas Julián Chivite,Bodegas Julián Chivite 2010 Gran Feudo Rosado Rosé (Navarra)
Estados Unidos,Hein Vineyard,87,20.0,California,Anderson Valley,,Pinot Blanc,Handley,Handley 2006 Hein Vineyard Pinot Blanc (Anderson Valley)
Estados Unidos,Vineyard Block 4SB20,88,22.0,California,Sonoma Valley,Sonoma,Sauvignon Blanc,Kunde,Kunde 2012 Vineyard Block 4SB20 Sauvignon Blanc (Sonoma Valley)
Estados Unidos,Old Vines,88,32.0,California,Sonoma County,Sonoma,Zinfandel,Wild Oak by St. Francis,Wild Oak by St. Francis 2005 Old Vines Zinfandel (Sonoma County)
Portugal,Encontro Special Cuvée Bruto,92,33.0,Bairrada,,,Portuguese Espumante,Global Wines,Global Wines 2011 Encontro Special Cuvée Bruto Sparkling (Bairrada)
Estados Unidos,Horseshoe Bend Vineyard,92,50.0,California,Russian River Valley,Sonoma,Pinot Noir,Davis Family,Davis Family 2012 Horseshoe Bend Vineyard Pinot Noir (Russian River Valley)
Italia,Maris,87,28.0,Central Italy,Umbria,,Chardonnay,Decugnano dei Barbi,Decugnano dei Barbi 2014 Maris Chardonnay (Umbria)
Estados Unidos,Old Vines,89,18.0,Washington,Yakima Valley,Columbia Valley,Ensamblaje Tinto,Kana,Kana 2006 Old Vines Red (Yakima Valley)
Estados Unidos,,87,14.0,New York,Finger Lakes,Finger Lakes,Riesling,Standing Stone,Standing Stone 2012 Riesling (Finger Lakes)
